episodes,actors,value,movie,tv,people
1,1,6,"Operation Dumbo Drop (1995), Run Lola Run (1998), The Cell (2000), 2001: A Space Odyssey (1968) ",Glee (2009), Sean Penn
1,2,2,,"Cougar Town (2009), Dr. Who (1963)",
1,3,0,,,
1,4,0,,,
1,5,2,The Remains of the Day (1993) ,,Batman
1,6,1,Green mile (1999) ,,
1,7,0,,,
2,1,1,Spartacus (1960) ,,
2,2,0,,,
2,3,0,,,
2,4,0,,,
2,5,1,Ace Ventura: When Nature Calls (1995) ,,
2,6,0,,,
2,7,0,,,
3,1,0,,,
3,2,0,,,
3,3,0,,,
3,4,0,,,
3,5,4,48 Hrs. (1982) ,Breaking Bad (2008)," Nick Nolte,  Eddie Murphy"
3,6,0,,,
3,7,0,,,
4,1,0,,,
4,2,2,Raiders of the Lost Ark (1981),Star Trek (1966) ,
4,3,0,,,
4,4,0,,,
4,5,0,,,
4,6,0,,,
4,7,0,,,
5,1,1,The Fast and the Furious (2001),,
5,2,0,,,
5,3,0,,,
5,4,1,Beetlejuice (1988) ,,
5,5,2,"Maniac Cop (1988), The Human Centipede (First Sequence) (2009) ",,
5,6,0,,,
5,7,0,,,
6,1,0,,,
6,2,2,Tron (1982) ,Dr. Who (1963),
6,3,0,,,
6,4,0,,,
6,5,3,Star Wars (1977),Dr. Who (1963), Harrison Ford
6,6,1,,,Bruce Vilanch
6,7,0,,,
7,1,2,Batman Forever (1995),Salvage 1 (1979),
7,2,3,"Star Wars: Episode V - The Empire Strikes Back (1980), Star Wars: Episode I - The Phantom Menace (1999) ",Star Trek: The Next Generation (1987) ,
7,3,0,,,
7,4,0,,,
7,5,3,"Star Wars: Episode V - The Empire Strikes Back (1980), Star Wars: Episode I - The Phantom Menace (1999) ",Star Trek: The Next Generation (1987) ,
7,6,1,,Friends (1994) ,
7,7,1,,The Jeffersons (1975) ,
8,1,0,,,
8,2,2,"Apocalypse Now (1979), Hearts of Darkness: A Filmmaker's Apocalypse (1991) ",,
8,3,1,Air Bud (1997) ,,
8,4,0,,,
8,5,0,,,
